,32735,10941163,14289918,18844454,36175307,40756070,41580584,43845868,47532330,49636748,50390508,50952050,52972784,59105955,76415959,77657479,78543018,81786544,89332099,89966129,90572207,104339945,109807341,124231325,133030507,138147021,138540197,138851931,139127863,143312600,152037974,154374401,157695105,158109081,164285180,165482318,167531686,176899577,177123098,177457298,182159361,194682140,215150187,216953513,221094530,244623361,322722122,323263866,332063275,366806475,373044930,422235963,426143918,452281904,59477024
32735,,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0
10941163,0,,1,1,1,1,1,1,2,2,0,1,1,5,5,1,0,5,5,5,1,1,1,1,1,2,3,1,0,1,0,2,5,1,2,1,1,0,1,1,1,1,1,1,1,0,5,1,1,1,2,0,6,1,1
14289918,0,1,,9,3,9,2,3,1,3,1,3,9,3,1,0,1,1,1,1,2,8,2,0,1,1,8,1,0,2,0,0,7,1,1,8,8,0,2,1,0,3,1,1,3,2,4,2,5,0,7,0,1,0,2
18844454,0,1,9,,3,9,2,3,1,3,1,3,9,3,1,0,1,1,1,1,2,8,2,0,1,1,8,1,0,2,0,0,7,1,1,8,8,0,2,1,0,3,1,1,3,2,4,2,5,0,7,0,1,0,2
36175307,1,1,3,3,,3,13,8,18,21,8,25,3,6,1,11,8,2,1,1,15,2,17,0,2,11,13,12,0,8,5,11,2,4,18,2,2,7,15,13,6,19,15,12,16,7,22,18,0,11,18,0,1,2,18
40756070,0,1,9,9,3,,2,3,1,3,1,3,9,3,1,0,1,1,1,1,2,8,2,0,1,1,8,1,0,2,0,0,7,1,1,8,8,0,2,1,0,3,1,1,3,2,4,2,5,0,7,0,1,0,2
41580584,1,1,2,2,13,2,,5,12,12,7,14,2,5,1,5,5,1,1,1,8,2,12,0,1,4,10,7,0,7,2,4,2,2,13,2,2,2,7,10,2,13,11,6,13,2,12,13,0,8,10,0,1,1,12
43845868,0,1,3,3,8,3,5,,8,6,6,8,3,2,1,7,5,1,1,1,6,4,6,0,0,4,10,7,0,5,2,6,5,1,7,4,4,2,6,6,4,7,6,7,6,2,8,8,1,6,12,0,1,2,8
47532330,1,2,1,1,18,1,12,8,,19,8,22,1,4,2,11,8,4,2,2,15,1,15,0,2,11,14,13,0,8,4,10,2,4,21,1,1,6,12,12,9,14,13,11,13,7,21,19,0,11,16,0,2,2,14
