32735,59477024
10221321
10941163,59105955,76415959,81786544,89332099,157695105,322722122
14289918,18844454,40756070,43845868,52972784,104339945,138540197,157695105,165482318,167531686,373044930
18844454,14289918,40756070,43845868,52972784,104339945,138540197,157695105,165482318,167531686,373044930
36175307,41580584,43845868,47532330,49636748,50390508,50952050,59477024,77657479,78543018,90572207,109807341,138540197,138851931,143312600,164285180,177123098,177457298,182159361,194682140,215150187,216953513,221094530,322722122,323263866,366806475,373044930
40756070,14289918,18844454,43845868,52972784,104339945,138540197,157695105,165482318,167531686,373044930
41580584,36175307,47532330,49636748,50952050,59477024,78543018,109807341,138540197,152037974,177457298,194682140,215150187,322722122,366806475,373044930
43845868,14289918,18844454,36175307,40756070,49636748,50952050,52972784,90572207,177123098,194682140,216953513,221094530,322722122
47532330,36175307,41580584,49636748,50952050,59105955,59477024,77657479,90572207,109807341,138147021,138851931,152037974,154374401,164285180,176899577,177123098,177457298,194682140,215150187,221094530,322722122,323263866,366806475,373044930
49636748,36175307,41580584,43845868,47532330,50390508,50952050,59105955,59477024,77657479,90572207,109807341,138540197,138851931,143312600,154374401,164285180,177457298,194682140,215150187,221094530,322722122,323263866,366806475,373044930
50390508,36175307,49636748,50952050,59477024,177123098,194682140,215150187,216953513,373044930
50952050,36175307,41580584,43845868,47532330,49636748,50390508,59477024,77657479,78543018,90572207,109807341,138147021,138540197,138851931,143312600,152037974,154374401,164285180,176899577,177123098,177457298,182159361,194682140,215150187,216953513,221094530,322722122,323263866,366806475,373044930
52972784,14289918,18844454,40756070,43845868,104339945,138540197,157695105,165482318,167531686,332063275,373044930
59105955,10941163,47532330,49636748,76415959,81786544,89332099,89966129,138540197,157695105,164285180,322722122,373044930,426143918
76415959,10941163,59105955,81786544,89332099,89966129,157695105,322722122,426143918
77657479,36175307,47532330,49636748,50952050,90572207,133030507,138147021,154374401,158109081,164285180,177123098,182159361,216953513,244623361,322722122,323263866
78543018,36175307,41580584,50952050,59477024,164285180,177123098,194682140,216953513,373044930
81786544,10941163,59105955,76415959,89332099,89966129,138147021,154374401,157695105,182159361,322722122,426143918
89332099,10941163,59105955,76415959,81786544,124231325,133030507,157695105,322722122,426143918
89966129,59105955,76415959,81786544,157695105,322722122,426143918
